customer_age,gender,dependent_count,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_amt_change_q4_q1,total_trans_count,total_count_change_q4_q1,avg_utilization_ratio,attrition_flag
38,1,1,4,3,2,10.005547627727275,987,0.49041881398832804,36,-0.2231435513142097,0.045,0
44,0,3,3,3,2,7.4342573821331355,1457,-0.08446915662644996,42,-0.4861330111756192,0.861,1
49,1,4,2,2,2,7.9676267393338165,925,-0.05551270993025883,58,-0.2770718933397654,0.321,1
43,0,5,6,6,3,8.435332164935916,2440,-0.43695577519953516,77,-0.1301086853470204,0.53,0
47,1,3,5,1,2,9.760944245750586,1280,0.2730759200624188,57,-0.4636240222816965,0.074,0
41,0,5,4,3,4,7.724888439323074,928,-0.41248972304512876,83,-0.16960278438617998,0.41,0
40,1,3,3,3,1,9.550092936718967,1994,-0.8278220838865469,77,-0.5041810810473222,0.142,0
49,1,1,6,3,4,10.449178263628198,0,-0.4079682383262829,45,-1.1270117631898076,0.0,0
35,1,4,3,3,3,9.073030421011577,719,-0.5869869847315546,59,-0.5191938734365074,0.082,0
51,1,4,2,1,2,8.146419323098003,2006,-0.5887871652357024,67,-0.27049724769768,0.581,0
57,1,4,4,2,4,8.018954683155718,1410,-0.4400565528777834,34,-0.35667494393873245,0.464,0
43,1,4,1,3,1,10.304141103647071,1576,-0.2231435513142097,119,-0.6069694843188929,0.053,0
55,0,1,5,2,3,7.515344571180436,572,-0.2770718933397654,34,-0.23698895813626278,0.312,1
40,0,2,4,2,3,8.39795910349254,1513,-0.2144316107121882,75,-0.18753512384684212,0.341,0
52,0,2,3,3,1,8.653645314551737,0,-0.3783364407199117,85,-0.07042246429654582,0.0,0
60,1,1,5,3,3,8.289037098278483,930,-0.3285040669720361,82,-0.49758039701597007,0.234,0
41,1,4,4,3,4,8.19863945529737,1884,-0.07904320734045285,79,-0.7113111511876165,0.518,0
45,0,2,6,2,3,8.0507033814703,2253,-0.32573014008931084,67,-0.27049724769768,0.718,0
